App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
tensorflowJava,GradientsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\GradientsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Gradients.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,ZerosTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\ZerosTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Zeros.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,ScopeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\ScopeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\Scope.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,PrimitiveOpTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\PrimitiveOpTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\PrimitiveOp.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJava,OperandsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\OperandsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\Operands.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJavaLite,DataTypeTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\DataTypeTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\DataType.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false
tensorflowJavaLite,InterpreterTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,InterpreterFlexWithCustomOpsTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterFlexWithCustomOpsTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,InterpreterCustomizedAndroidBuildTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterCustomizedAndroidBuildTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,InterpreterFlexTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterFlexTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,InterpreterMobileNetTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterMobileNetTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java,,,true,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,TensorTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\TensorTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Tensor.java,,,true,true,false,false,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,false
tensorflowJavaLite,TensorFlowLiteTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\TensorFlowLiteTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\TensorFlowLite.java,,,true,true,false,false,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,false
